phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P5_full_matrix,planning,none,5,high,30,0.3087933333333333,0.0642139523636485,1200.0,316.2,0.05315333333333334,0.0,6.587553215026856
P5_full_matrix,planning,none,5,low,30,0.3497,0.04671200096851729,1200.0,336.5,0.06261,0.0,6.392367672920227
P5_full_matrix,planning,none,5,mid,30,0.34757666666666664,0.0630623374312977,1200.0,399.26666666666665,0.061746666666666665,0.0,6.306953930854798
P5_full_matrix,reactive,basic,3,0,30,0.12969333333333333,0.06663164275396452,1200.0,106.5,0.009153333333333335,0.0,1.1090999205907186
P5_full_matrix,reactive,basic,3,high,30,0.16271666666666668,0.07030721296853047,1200.0,139.16666666666666,0.011476666666666666,0.0,1.1305580457051596
P5_full_matrix,reactive,basic,3,low,30,0.16514333333333334,0.07492977716333558,1200.0,138.16666666666666,0.011706666666666667,0.0,1.1319922765096029
P5_full_matrix,reactive,basic,3,mid,30,0.14545666666666665,0.05705682396453154,1200.0,138.53333333333333,0.010333333333333333,0.0,1.1526991605758667
P5_full_matrix,reactive,basic,5,0,30,0.27757333333333334,0.11601676731770531,1200.0,322.56666666666666,0.01188,0.0,1.7485172669092814
P5_full_matrix,reactive,basic,5,high,30,0.26969666666666664,0.09586102902148229,1200.0,248.83333333333334,0.01143,0.0,1.6924301544825235
P5_full_matrix,reactive,basic,5,low,30,0.25362999999999997,0.0938519308860211,1200.0,235.4,0.010783333333333334,0.0,1.7842967828114829
P5_full_matrix,reactive,basic,5,mid,30,0.24454666666666663,0.07651662309064222,1200.0,243.46666666666667,0.01044,0.0,1.751025915145874
P5_full_matrix,reactive,none,1,0,30,0.0394,0.03300904787144443,1200.0,49.8,0.0076166666666666666,0.0,0.4684499184290568
P5_full_matrix,reactive,none,1,high,30,0.041819999999999996,0.03593045389695737,1200.0,14.9,0.00764,0.0,0.47797865867614747
P5_full_matrix,reactive,none,1,low,30,0.05878666666666667,0.04754355341436279,1200.0,36.13333333333333,0.010943333333333333,0.0,0.49047279357910156
P5_full_matrix,reactive,none,1,mid,30,0.06332666666666667,0.044632297980145556,1200.0,46.43333333333333,0.01158,0.0,0.4795761426289876
P5_full_matrix,reactive,none,3,0,30,0.20606333333333332,0.08380827661922811,1200.0,124.93333333333334,0.01282,0.0,1.122914203008016
P5_full_matrix,reactive,none,3,high,30,0.17364333333333332,0.07344197654979222,1200.0,134.46666666666667,0.010613333333333334,0.0,1.1567634026209512
P5_full_matrix,reactive,none,3,low,30,0.19029666666666667,0.07779748459426825,1200.0,145.13333333333333,0.011813333333333334,0.0,1.141405502955119
P5_full_matrix,reactive,none,3,mid,30,0.18060666666666667,0.08470268054763097,1200.0,122.26666666666667,0.011146666666666666,0.0,1.1650303920110068
P5_full_matrix,reactive,none,5,0,30,0.39879,0.11393859311049964,1200.0,258.1333333333333,0.014839999999999999,0.0,1.70597505569458
P5_full_matrix,reactive,none,5,high,30,0.41575666666666666,0.09084495197230595,1200.0,276.43333333333334,0.01534,0.0,1.7070250590642293
P5_full_matrix,reactive,none,5,low,30,0.36060666666666663,0.0941284556386619,1200.0,245.06666666666666,0.013393333333333333,0.0,1.757985806465149
P5_full_matrix,reactive,none,5,mid,30,0.40514666666666665,0.10046221363187299,1200.0,283.1666666666667,0.014993333333333332,0.0,1.7242129564285278
