phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P5_full_matrix,planning_bots5_low_none,521458471,planning,none,5,low,1,0,1200,0.4182,614,17,5801.48,0.0721,6.467187166213989
P5_full_matrix,planning_bots5_low_none,629202109,planning,none,5,low,1,0,1200,0.3636,77,9,5667.24,0.0642,6.52380895614624
P5_full_matrix,planning_bots5_low_none,965464724,planning,none,5,low,1,0,1200,0.2636,335,51,4712.08,0.0559,6.81401252746582
P5_full_matrix,planning_bots5_low_none,991745419,planning,none,5,low,1,0,1200,0.4091,278,46,5597.41,0.0731,6.533571004867554
P5_full_matrix,planning_bots5_low_none,1513536740,planning,none,5,low,1,0,1200,0.3455,191,23,5929.84,0.0583,6.148963689804077
P5_full_matrix,planning_bots5_low_none,578605931,planning,none,5,low,1,0,1200,0.4273,236,11,6361.85,0.0672,5.931745290756226
P5_full_matrix,planning_bots5_low_none,1229696109,planning,none,5,low,1,0,1200,0.3455,595,17,5499.87,0.0628,6.2534801959991455
P5_full_matrix,planning_bots5_low_none,279117277,planning,none,5,low,1,0,1200,0.3091,616,22,5805.55,0.0532,7.271428346633911
P5_full_matrix,planning_bots5_low_none,208220459,planning,none,5,low,1,0,1200,0.3727,96,20,6334.89,0.0588,7.023912191390991
P5_full_matrix,planning_bots5_low_none,1922158354,planning,none,5,low,1,0,1200,0.3,493,25,5982.86,0.0501,6.613743782043457
P5_full_matrix,planning_bots5_low_none,961381896,planning,none,5,low,1,0,1200,0.3455,157,5,5296.98,0.0652,6.239109516143799
P5_full_matrix,planning_bots5_low_none,731235769,planning,none,5,low,1,0,1200,0.3909,21,5,5270.2,0.0742,5.914214611053467
P5_full_matrix,planning_bots5_low_none,1792905179,planning,none,5,low,1,0,1200,0.4091,124,8,5975.58,0.0685,6.036670446395874
P5_full_matrix,planning_bots5_low_none,1809439912,planning,none,5,low,1,0,1200,0.3091,306,65,5053.02,0.0612,6.450255632400513
P5_full_matrix,planning_bots5_low_none,1253764497,planning,none,5,low,1,0,1200,0.3091,391,2,5153.69,0.06,6.322457313537598
P5_full_matrix,planning_bots5_low_none,2145621904,planning,none,5,low,1,0,1200,0.3455,183,11,5944.42,0.0581,6.317150354385376
P5_full_matrix,planning_bots5_low_none,1851349725,planning,none,5,low,1,0,1200,0.3455,503,52,5247.91,0.0658,6.58003568649292
P5_full_matrix,planning_bots5_low_none,1375896306,planning,none,5,low,1,0,1200,0.4091,337,23,6298.03,0.065,6.16316819190979
P5_full_matrix,planning_bots5_low_none,260412476,planning,none,5,low,1,0,1200,0.4182,359,26,5605.63,0.0746,6.037607908248901
P5_full_matrix,planning_bots5_low_none,170560007,planning,none,5,low,1,0,1200,0.3455,290,29,6019.59,0.0574,6.385135650634766
P5_full_matrix,planning_bots5_low_basic,964396399,planning,basic,5,low,1,0,1200,0.3273,341,13,5899.44,0.0555,4.883397102355957
P5_full_matrix,planning_bots5_low_basic,494963248,planning,basic,5,low,1,0,1200,0.3091,157,26,5734.16,0.0539,5.228308916091919
P5_full_matrix,planning_bots5_low_basic,334364709,planning,basic,5,low,1,0,1200,0.2455,664,37,5037.51,0.0487,5.547755002975464
P5_full_matrix,planning_bots5_low_basic,1265356904,planning,basic,5,low,1,0,1200,0.3,279,31,5892.5,0.0509,6.022183895111084
P5_full_matrix,planning_bots5_low_basic,1495069991,planning,basic,5,low,1,0,1200,0.2818,11,3,5612.82,0.0502,6.113123655319214
P5_full_matrix,planning_bots5_low_basic,405262420,planning,basic,5,low,1,0,1200,0.2909,763,26,5465.02,0.0532,6.3863205909729
P5_full_matrix,planning_bots5_low_basic,1299514168,planning,basic,5,low,1,0,1200,0.4182,368,59,5297.91,0.0789,5.469456911087036
P5_full_matrix,planning_bots5_low_basic,1154419139,planning,basic,5,low,1,0,1200,0.3273,323,42,4693.88,0.0697,8.189952611923218
P5_full_matrix,planning_bots5_low_basic,2022331255,planning,basic,5,low,1,0,1200,0.4,172,23,5469.92,0.0731,5.542514324188232
P5_full_matrix,planning_bots5_low_basic,490538762,planning,basic,5,low,1,0,1200,0.4091,509,32,5639.79,0.0725,4.931530237197876
P5_full_matrix,planning_bots5_low_basic,1827738964,planning,basic,5,low,1,0,1200,0.3636,480,36,6063.85,0.06,4.988271713256836
P5_full_matrix,planning_bots5_low_basic,1958340336,planning,basic,5,low,1,0,1200,0.2818,1071,62,5386.88,0.0523,4.79940390586853
P5_full_matrix,planning_bots5_low_basic,1367989975,planning,basic,5,low,1,0,1200,0.3273,356,30,5841.07,0.056,5.546726942062378
P5_full_matrix,planning_bots5_low_basic,443301518,planning,basic,5,low,1,0,1200,0.1727,395,41,5156.61,0.0335,6.033289194107056
P5_full_matrix,planning_bots5_low_basic,1816038865,planning,basic,5,low,1,0,1200,0.3091,746,39,5314.17,0.0582,9.022868156433105
P5_full_matrix,planning_bots5_low_basic,1197400998,planning,basic,5,low,1,0,1200,0.3,475,30,6265.67,0.0479,6.2297937870025635
P5_full_matrix,planning_bots5_low_basic,1843708564,planning,basic,5,low,1,0,1200,0.3182,436,45,5626.98,0.0565,5.1482837200164795
P5_full_matrix,planning_bots5_low_basic,1942052479,planning,basic,5,low,1,0,1200,0.2273,74,13,4967.92,0.0457,5.29398512840271
P5_full_matrix,planning_bots5_low_basic,1219344008,planning,basic,5,low,1,0,1200,0.1818,267,27,4542.56,0.04,7.244082927703857
P5_full_matrix,planning_bots5_low_basic,1265752581,planning,basic,5,low,1,0,1200,0.2364,764,23,4429.78,0.0534,5.106856822967529
P5_full_matrix,planning_bots5_low_basic,1453619286,planning,basic,5,low,1,0,1200,0.1455,371,23,4943.99,0.0294,7.890159606933594
