phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P5_full_matrix,planning,basic,3,0,30,0.07272333333333333,0.029044848594631325,1200.0,73.8,0.01823666666666667,0.0,17.360455203056336
P5_full_matrix,planning,basic,3,high,30,0.06121,0.026245621638140208,1200.0,68.96666666666667,0.014759999999999999,0.0,16.514553093910216
P5_full_matrix,planning,basic,3,low,30,0.0706,0.025784785677096345,1200.0,74.93333333333334,0.017746666666666668,0.0,17.42531667550405
P5_full_matrix,planning,basic,3,mid,30,0.07,0.0282566684226012,1200.0,65.13333333333334,0.017286666666666665,0.0,16.79971914291382
P5_full_matrix,planning,basic,5,0,30,0.12335,0.05201367028533676,1200.0,123.83333333333333,0.018933333333333333,0.0,25.779843473434447
P5_full_matrix,planning,basic,5,high,30,0.11394666666666667,0.04489414164479579,1200.0,129.63333333333333,0.01695,0.0,20.151079551378885
P5_full_matrix,planning,basic,5,low,30,0.13788,0.06161666478567584,1200.0,141.26666666666668,0.02235,0.0,25.668864432970683
P5_full_matrix,planning,basic,5,mid,30,0.12879333333333334,0.05613633609245493,1200.0,131.2,0.019996666666666666,0.0,22.888866766293845
P5_full_matrix,planning,none,1,0,30,0.03637666666666666,0.015267199082218453,1200.0,26.333333333333332,0.03042,0.0,8.899391063054402
P5_full_matrix,planning,none,1,high,30,0.032143333333333336,0.014463621031171046,1200.0,23.9,0.025323333333333333,0.0,9.05165991783142
P5_full_matrix,planning,none,1,low,30,0.03789,0.01817748417780862,1200.0,32.333333333333336,0.031216666666666667,0.0,8.877528580029805
P5_full_matrix,planning,none,1,mid,30,0.03758333333333333,0.01594469068121236,1200.0,26.166666666666668,0.03164666666666667,0.0,8.880258695284526
P5_full_matrix,planning,none,3,0,30,0.09576,0.027416048660190456,1200.0,69.1,0.023796666666666667,0.0,25.160105299949645
P5_full_matrix,planning,none,3,high,30,0.09211333333333332,0.030377404639693593,1200.0,65.8,0.02155666666666667,0.0,24.36853985786438
P5_full_matrix,planning,none,3,low,30,0.10060333333333334,0.0313156068101044,1200.0,76.76666666666667,0.024679999999999997,0.0,25.789506340026854
P5_full_matrix,planning,none,3,mid,30,0.10636,0.035114154725252394,1200.0,63.06666666666667,0.02579666666666667,0.0,24.249797995885213
P5_full_matrix,planning,none,5,0,30,0.16152333333333332,0.048661878326867435,1200.0,132.66666666666666,0.023610000000000003,0.0,36.842513330777486
P5_full_matrix,planning,none,5,high,30,0.15516,0.04750177201776356,1200.0,128.96666666666667,0.021793333333333335,0.0,29.85034929116567
P5_full_matrix,planning,none,5,low,30,0.16242,0.04268507289762854,1200.0,125.53333333333333,0.024436666666666666,0.0,37.9503732363383
P5_full_matrix,planning,none,5,mid,30,0.16303,0.04414550510176156,1200.0,134.73333333333332,0.02398,0.0,35.79200065135956
P5_full_matrix,reactive,basic,3,0,30,0.16515666666666667,0.0760629489002517,1200.0,34.0,0.011503333333333334,0.0,1.8149616718292236
P5_full_matrix,reactive,basic,3,high,30,0.16939666666666667,0.07420995603497312,1200.0,45.3,0.011773333333333334,0.0,1.828366502126058
