phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P3_multi_agent,bots2_none,30221,planning,none,2,low,1,0,1200,0.01,95,20,2892.2,0.0035,31.451471090316772
P3_multi_agent,bots2_none,30222,planning,none,2,low,1,0,1200,0.04,78,16,2769.0,0.0144,30.923585891723633
P3_multi_agent,bots2_none,30223,planning,none,2,low,1,0,1200,0.02,12,0,2975.04,0.0067,28.17766833305359
P3_multi_agent,bots2_none,30224,planning,none,2,low,1,0,1200,0.12,103,22,3279.29,0.0366,18.719818830490112
P3_multi_agent,bots2_none,30225,planning,none,2,low,1,0,1200,0.05,89,19,2691.7,0.0186,23.122985363006592
P3_multi_agent,bots2_none,30226,planning,none,2,low,1,0,1200,0.04,27,6,2968.9,0.0135,17.362427234649658
P3_multi_agent,bots2_none,30227,planning,none,2,low,1,0,1200,0.01,90,12,2615.1,0.0038,21.34119200706482
P3_multi_agent,bots2_none,30228,planning,none,2,low,1,0,1200,0.07,17,3,3405.71,0.0206,17.263218641281128
P3_multi_agent,bots2_none,30229,planning,none,2,low,1,0,1200,0.1,2,0,2970.44,0.0337,16.4273202419281
P3_multi_agent,bots2_basic,30200,planning,basic,2,low,1,0,1200,0.04,9,2,2676.28,0.0149,17.44574999809265
P3_multi_agent,bots2_basic,30201,planning,basic,2,low,1,0,1200,0.03,28,6,2913.87,0.0103,13.56446886062622
P3_multi_agent,bots2_basic,30202,planning,basic,2,low,1,0,1200,0.04,2,1,3097.65,0.0129,11.677197456359863
P3_multi_agent,bots2_basic,30203,planning,basic,2,low,1,0,1200,0.08,0,0,2381.96,0.0336,11.707969903945923
P3_multi_agent,bots2_basic,30204,planning,basic,2,low,1,0,1200,0.04,57,12,2943.25,0.0136,11.474119901657104
P3_multi_agent,bots2_basic,30205,planning,basic,2,low,1,0,1200,0.03,8,2,2658.28,0.0113,11.724898338317871
P3_multi_agent,bots2_basic,30206,planning,basic,2,low,1,0,1200,0.05,0,0,2970.36,0.0168,14.61222505569458
