phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P5_full_matrix,reactive,basic,3,0,3,0.0818,0.0328105166067223,1200.0,71.33333333333333,0.005633333333333334,0.0,1.2300837834676106
P5_full_matrix,reactive,basic,3,high,3,0.18183333333333332,0.032755050501156825,1200.0,158.33333333333334,0.013,0.0,1.1781607468922932
P5_full_matrix,reactive,basic,3,low,3,0.27876666666666666,0.04203109959700474,1200.0,148.0,0.020133333333333333,0.0,1.2509972254435222
P5_full_matrix,reactive,basic,3,mid,3,0.1303,0.054805200483165825,1200.0,119.66666666666667,0.009300000000000001,0.0,1.2676656246185303
P5_full_matrix,reactive,basic,5,0,3,0.20603333333333332,0.04294849628721982,1200.0,381.3333333333333,0.008766666666666667,0.0,1.9011524518330891
P5_full_matrix,reactive,basic,5,high,3,0.2363666666666667,0.0314655896708346,1200.0,257.0,0.009966666666666667,0.0,1.8585174083709717
P5_full_matrix,reactive,basic,5,low,3,0.2606,0.07945042479433323,1200.0,297.6666666666667,0.0113,0.0,1.9145588080088298
P5_full_matrix,reactive,basic,5,mid,3,0.25756666666666667,0.08201660401000113,1200.0,301.0,0.010833333333333334,0.0,1.9245214462280273
P5_full_matrix,reactive,none,1,0,3,0.0394,0.0367318662743945,1200.0,63.333333333333336,0.007133333333333334,0.0,0.5423924922943115
P5_full_matrix,reactive,none,1,high,3,0.04546666666666666,0.056773438625235075,1200.0,0.6666666666666666,0.0078000000000000005,0.0,0.5119300683339437
P5_full_matrix,reactive,none,1,low,3,0.10303333333333332,0.04103417275068833,1200.0,51.333333333333336,0.019566666666666666,0.0,0.5256120363871256
P5_full_matrix,reactive,none,1,mid,3,0.04543333333333333,0.03275505050115681,1200.0,26.0,0.008366666666666666,0.0,0.5077135562896729
P5_full_matrix,reactive,none,3,0,3,0.16366666666666665,0.07443173606287398,1200.0,86.33333333333333,0.0101,0.0,1.191611607869466
P5_full_matrix,reactive,none,3,high,3,0.17576666666666665,0.11363104036016448,1200.0,221.33333333333334,0.011133333333333334,0.0,1.2652201652526855
P5_full_matrix,reactive,none,3,low,3,0.15153333333333333,0.045749353365193424,1200.0,158.66666666666666,0.0095,0.0,1.2739899158477783
P5_full_matrix,reactive,none,3,mid,3,0.11209999999999999,0.03783027887816848,1200.0,143.66666666666666,0.006999999999999999,0.0,1.2172399361928303
P5_full_matrix,reactive,none,5,0,3,0.4091,0.1597927407612749,1200.0,249.0,0.015266666666666666,0.0,1.8746019999186199
P5_full_matrix,reactive,none,5,high,3,0.3242,0.06053321402337727,1200.0,312.0,0.012166666666666666,0.0,1.90076740582784
P5_full_matrix,reactive,none,5,low,3,0.3,0.08078694201416463,1200.0,317.0,0.011266666666666666,0.0,1.8938132127126057
P5_full_matrix,reactive,none,5,mid,3,0.5212,0.1415135682540724,1200.0,327.0,0.0195,0.0,1.7772164344787598
